topic,label,0.01-reg,0.01-inter,0.01-fp,0.01-tp,0.05-reg,0.05-inter,0.05-fp,0.05-tp,0.1-reg,0.1-inter,0.1-fp,0.1-tp,0.2-reg,0.2-inter,0.2-fp,0.2-tp,0.3-reg,0.3-inter,0.3-fp,0.3-tp,0.4-reg,0.4-inter,0.4-fp,0.4-tp,0.5-reg,0.5-inter,0.5-fp,0.5-tp
flash,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
location,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
download,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
google_voice,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
android_market,50,214,50.0,0.766,0.234,154,50.0,0.675,0.325,110,48.0,0.564,0.436,74,39.0,0.473,0.527,43,31.0,0.279,0.721,36,26.0,0.278,0.722,0,0,0,0,
google_earth,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
twitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
time,27,202,24.0,0.881,0.119,155,24.0,0.845,0.155,113,24.0,0.788,0.212,60,21.0,0.65,0.35,43,21.0,0.512,0.488,38,20.0,0.474,0.526,0,0,0,0,
picassa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VPN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
search,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
facebook,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
youtube,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ringtone,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
calculator,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
video,14,158,13.0,0.918,0.082,117,12.0,0.897,0.103,89,11.0,0.876,0.124,45,8.0,0.822,0.178,38,8.0,0.789,0.211,32,7.0,0.781,0.219,0,0,0,0,
3G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
font,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UI,81,221,29.0,0.869,0.131,170,27.0,0.841,0.159,119,21.0,0.824,0.176,63,8.0,0.873,0.127,35,3.0,0.914,0.086,27,2.0,0.926,0.074,0,0,0,0,
image,24,310,25.0,0.919,0.081,223,23.0,0.897,0.103,167,23.0,0.862,0.138,97,20.0,0.794,0.206,65,17.0,0.738,0.262,55,15.0,0.727,0.273,0,0,0,0,
IPV6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
display,97,197,45.0,0.772,0.228,150,36.0,0.76,0.24,102,30.0,0.706,0.294,60,22.0,0.633,0.367,45,16.0,0.644,0.356,29,11.0,0.621,0.379,0,0,0,0,
voice_recognition,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
bluethooth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
upgrade,56,256,18.0,0.93,0.07,201,14.0,0.93,0.07,127,10.0,0.921,0.079,61,5.0,0.918,0.082,30,3.0,0.9,0.1,17,1.0,0.941,0.059,0,0,0,0,
google_navigation,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
input,29,123,15.0,0.878,0.122,88,15.0,0.83,0.17,53,11.0,0.792,0.208,34,8.0,0.765,0.235,27,4.0,0.852,0.148,19,4.0,0.789,0.211,0,0,0,0,
system,85,140,18.0,0.871,0.129,100,14.0,0.86,0.14,59,11.0,0.814,0.186,27,5.0,0.815,0.185,20,3.0,0.85,0.15,15,3.0,0.8,0.2,0,0,0,0,
email,78,156,66.0,0.577,0.423,121,61.0,0.496,0.504,87,58.0,0.333,0.667,54,48.0,0.111,0.889,45,39.0,0.133,0.867,32,27.0,0.156,0.844,0,0,0,0,
voicedialing,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
language,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
google_latitude,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
region,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
google_map,18,150,18.0,0.88,0.12,114,17.0,0.851,0.149,80,15.0,0.812,0.188,55,14.0,0.745,0.255,39,10.0,0.744,0.256,26,10.0,0.615,0.385,0,0,0,0,
gtalk,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
google_account,0,184,0.0,1,0,142,0.0,1,0,107,0.0,1,0,60,0.0,1,0,38,0.0,1,0,30,0.0,1,0,0,0,0,0,
calling,40,185,29.0,0.843,0.157,146,25.0,0.829,0.171,119,21.0,0.824,0.176,62,16.0,0.742,0.258,42,10.0,0.762,0.238,33,8.0,0.758,0.242,0,0,0,0,
signal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SD_card,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
compass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SIM_card,3,206,2.0,0.99,0.01,162,2.0,0.988,0.012,111,2.0,0.982,0.018,70,2.0,0.971,0.029,42,2.0,0.952,0.048,30,1.0,0.967,0.033,0,0,0,0,
date,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
contact,88,179,83.0,0.536,0.464,146,82.0,0.438,0.562,109,70.0,0.358,0.642,66,53.0,0.197,0.803,45,37.0,0.178,0.822,35,28.0,0.2,0.8,0,0,0,0,
network,85,119,33.0,0.723,0.277,92,29.0,0.685,0.315,72,27.0,0.625,0.375,55,27.0,0.509,0.491,43,25.0,0.419,0.581,30,18.0,0.4,0.6,0,0,0,0,
setting,47,192,9.0,0.953,0.047,137,8.0,0.942,0.058,103,6.0,0.942,0.058,53,1.0,0.981,0.019,33,1.0,0.97,0.03,23,1.0,0.957,0.043,0,0,0,0,
google_translate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
dialing,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
battery,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
proxy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
voicemail,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
browser,102,202,88.0,0.564,0.436,158,84.0,0.468,0.532,114,79.0,0.307,0.693,82,72.0,0.122,0.878,59,55.0,0.068,0.932,44,41.0,0.068,0.932,0,0,0,0,
notification,33,121,13.0,0.893,0.107,91,11.0,0.879,0.121,77,9.0,0.883,0.117,46,5.0,0.891,0.109,36,4.0,0.889,0.111,25,3.0,0.88,0.12,0,0,0,0,
widget,0,162,0.0,1,0,115,0.0,1,0,71,0.0,1,0,35,0.0,1,0,20,0.0,1,0,14,0.0,1,0,0,0,0,0,
synchronize,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
null,0,332,0.0,1,0,238,0.0,1,0,183,0.0,1,0,114,0.0,1,0,89,0.0,1,0,65,0.0,1,0,0,0,0,0,
calendar,81,170,76.0,0.553,0.447,131,76.0,0.42,0.58,101,73.0,0.277,0.723,71,63.0,0.113,0.887,59,55.0,0.068,0.932,47,45.0,0.043,0.957,0,0,0,0,
app,51,321,14.0,0.956,0.044,243,10.0,0.959,0.041,174,7.0,0.96,0.04,101,2.0,0.98,0.02,69,2.0,0.971,0.029,55,1.0,0.982,0.018,0,0,0,0,
keyboard,40,169,40.0,0.763,0.237,138,39.0,0.717,0.283,101,33.0,0.673,0.327,55,24.0,0.564,0.436,43,20.0,0.535,0.465,41,20.0,0.512,0.488,0,0,0,0,
audio,90,113,66.0,0.416,0.584,88,62.0,0.295,0.705,77,58.0,0.247,0.753,56,46.0,0.179,0.821,42,36.0,0.143,0.857,33,29.0,0.121,0.879,0,0,0,0,
camera,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
lock,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
video_call,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
memory,9,145,8.0,0.945,0.055,112,8.0,0.929,0.071,84,8.0,0.905,0.095,48,6.0,0.875,0.125,33,6.0,0.818,0.182,26,6.0,0.769,0.231,0,0,0,0,
message,143,425,178.0,0.581,0.419,333,173.0,0.48,0.52,252,150.0,0.405,0.595,156,118.0,0.244,0.756,100,82.0,0.18,0.82,75,61.0,0.187,0.813,0,0,0,0,
multi_language,0,202,0.0,1,0,167,0.0,1,0,116,0.0,1,0,73,0.0,1,0,48,0.0,1,0,33,0.0,1,0,0,0,0,0,
alarm,16,154,16.0,0.896,0.104,116,16.0,0.862,0.138,89,15.0,0.831,0.169,57,15.0,0.737,0.263,44,14.0,0.682,0.318,38,13.0,0.658,0.342,0,0,0,0,
wifi,57,208,56.0,0.731,0.269,161,55.0,0.658,0.342,130,54.0,0.585,0.415,88,43.0,0.511,0.489,67,31.0,0.537,0.463,50,26.0,0.48,0.52,0,0,0,0,
bluetooth,49,114,49.0,0.57,0.43,101,49.0,0.515,0.485,81,45.0,0.444,0.556,54,36.0,0.333,0.667,43,30.0,0.302,0.698,33,24.0,0.273,0.727,0,0,0,0,
rSAP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
radio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
screen_shot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GPS,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
touchscreen,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
